season,player,pfr_id,tm,age,pos,g,gs,int,tgt,cmp,cmp_percent,yds,yds_cmp,yds_tgt,td,rat,dadot,air,yac,bltz,hrry,qbkd,sk,prss,comb,m_tkl,m_tkl_percent,loaded
2023,Kareem Jackson,JackKa99,2TM,35,S-SS,10,8,2,25,16,0.64,233,14.6,9.3,2,87.6,8.6,176,57,1,0,0,0,0,53,5,0.086,2024-09-04
2023,JaQuan McMillian,McMiJa00,DEN,23,CB,16,3,2,66,37,0.561,400,10.8,6.1,7,96.8,7.2,185,215,19,0,1,2,3,51,8,0.136,2024-09-04
2023,Terell Smith,SmitTe05,CHI,24,DB,12,4,0,46,29,0.63,354,12.2,7.7,1,93.9,11.8,276,78,0,0,0,0,0,49,3,0.058,2024-09-04
2023,Tuli Tuipulotu,TuipTu00,LAC,21,OLB,17,11,0,10,7,0.7,52,7.4,5.2,1,115.4,1.2,3,49,28,11,6,4.5,22,53,8,0.131,2024-09-04
2023,Leonard Williams,WillLe02,2TM,29,NT-RDE,18,17,0,3,3,1,8,2.7,2.7,0,79.2,-3.7,-11,19,0,7,10,5.5,23,62,4,0.061,2024-09-04
2023,Russ Yeast,YeasRu00,LA,24,DB,17,9,0,41,28,0.683,398,14.2,9.7,2,115.7,10.7,279,119,13,0,0,0,0,61,17,0.218,2024-09-04
2023,Dennis Gardeck,GardDe01,ARI,29,OLB,17,8,0,13,10,0.769,72,7.2,5.5,2,128.8,2.5,18,54,31,8,6,6,20,46,4,0.08,2024-09-04
2023,Jonathan Greenard,GreeJo04,HOU,26,RDE,15,15,0,3,2,0.667,0,0,0,0,70.1,-4.3,-9,9,18,9,9,12.5,32,52,5,0.088,2024-09-04
2023,Xavien Howard,HowaXa00,MIA,30,LCB,13,13,1,62,39,0.629,419,10.7,6.8,1,81.3,11.3,299,120,3,0,1,0,1,45,6,0.118,2024-09-04
2023,Aidan Hutchinson,HutcAi00,DET,23,DL,17,17,1,3,0,0,0,,0,0,0,-2.3,0,0,1,29,21,11.5,62,51,9,0.15,2024-09-04
2023,Jermaine Johnson,JohnJe07,NYJ,24,LB,17,17,1,5,2,0.4,17,8.5,3.4,0,10,-5.4,-9,26,26,9,7,7.5,25,55,2,0.035,2024-09-04
2023,Brandon Jones,JoneBr06,MIA,25,SS,16,6,2,16,11,0.688,133,12.1,8.3,1,75.3,10.3,70,63,4,0,1,0,1,48,7,0.127,2024-09-04
2023,Jourdan Lewis,LewiJo01,DAL,28,CB,16,8,1,71,44,0.62,464,10.5,6.5,4,93.9,6.6,225,239,7,0,0,0,0,52,5,0.088,2024-09-04
2023,Micah Parsons,ParsMi00,DAL,24,LB,17,17,0,5,3,0.6,10,3.3,2,0,64.6,2.2,4,6,47,11,16,14,43,64,3,0.045,2024-09-04
2023,Darnell Savage,SavaDa00,GB,26,SS,10,10,0,23,18,0.783,222,12.3,9.7,0,106.9,8.6,150,72,3,1,0,0,1,51,8,0.136,2024-09-04
2023,Krys Barnes,BarnKr00,ARI,25,LB,16,6,1,19,16,0.842,125,7.8,6.6,3,111.7,3.4,50,75,5,0,1,0,1,55,4,0.068,2024-09-04
2023,Percy Butler,ButlPe00,WAS,23,S,15,13,0,32,19,0.594,350,18.4,10.9,4,136.7,15.6,257,93,6,0,0,0,0,64,9,0.123,2024-09-04
2023,Emmanuel Forbes,ForbEm00,WAS,22,CB,14,6,1,61,37,0.607,598,16.2,9.8,3,103,11.8,403,195,0,0,0,0,0,38,7,0.156,2024-09-04
2023,Boye Mafe,MafeBo00,SEA,25,LB,16,16,0,8,6,0.75,111,18.5,13.9,1,156.2,2.6,12,99,14,8,8,9,25,52,3,0.055,2024-09-04
2023,Nick Scott,ScotNi01,CIN,28,S,17,10,0,33,22,0.667,332,15.1,10.1,0,99.6,14,217,115,22,1,1,0,2,57,4,0.066,2024-09-04
2023,Ambry Thomas,ThomAm00,SF,24,CB,15,6,1,57,40,0.702,371,9.3,6.5,3,97.9,10.3,283,88,0,0,0,0,0,43,3,0.065,2024-09-04
2023,Starling Thomas,ThomSt01,ARI,23,CB,12,7,0,49,37,0.755,376,10.2,7.7,5,131,9.4,284,92,1,0,0,0,0,38,2,0.05,2024-09-04
2023,Henry TooToo,TooTHe00,HOU,22,LB,14,6,0,33,27,0.818,273,10.1,8.3,3,131.4,5.9,140,133,15,3,1,0,4,61,12,0.164,2024-09-04
2023,Marcus Williams,WillMa06,BAL,27,S,11,11,1,37,24,0.649,322,13.4,8.7,4,117.2,10.8,193,129,1,0,0,0,0,55,4,0.068,2024-09-04
2023,Andrew Wingard,WingAn01,JAX,27,S,17,2,1,18,11,0.611,135,12.3,7.5,1,79.6,10.2,103,32,3,0,1,0,1,45,3,0.063,2024-09-04
