Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
44,Curtis Samuel,26,WAS,WR,17,12,5.41,3.76,38.6,2.12,21.6,5.7,17.0,4.5,6.7,0.47,8.0,0.29,5.4,0.12,95.2,,SamuCu00
45,Courtland Sutton,27,DEN,WR,15,15,7.27,4.27,55.3,2.53,45.1,10.6,10.1,2.4,12.3,0.07,64.0,0.60,8.3,0.27,73.5,,SuttCo00
46,Parris Campbell,25,IND,WR,17,16,5.35,3.71,36.6,1.88,20.4,5.5,16.3,4.4,6.4,0.29,12.6,0.29,5.5,0.35,71.8,,CampPa00
47,Pat Freiermuth,24,PIT,TE,16,8,6.13,3.94,45.8,2.31,27.6,7.0,18.2,4.6,8.3,0.38,10.5,0.25,4.1,0.25,76.6,,FreiPa00
48,D.J. Moore,25,CAR,WR,17,17,6.94,3.71,52.2,2.59,41.5,11.2,10.7,2.9,13.0,0.24,15.8,0.41,5.9,0.29,80.0,,MoorD.00
49,Mike Williams,28,LAC,WR,13,13,7.15,4.85,68.8,3.00,44.3,9.1,24.5,5.1,12.0,0.00,,0.08,1.1,0.15,104.0,,WillMi07
50,Donovan Peoples-Jones,23,CLE,WR,17,14,5.65,3.59,49.4,1.94,38.1,10.6,11.2,3.1,11.7,0.06,61.0,0.12,2.1,0.06,97.5,,PeopDo00
51,George Kittle,29,SFO,TE,15,15,5.73,4.00,51.0,2.40,25.5,6.4,25.5,6.4,6.5,0.27,15.0,0.20,3.5,0.13,127.2,PBAP-2,KittGe00
52,Allen Lazard,27,GNB,WR,15,15,6.67,4.00,52.5,3.00,36.0,9.0,16.5,4.1,12.5,0.07,60.0,0.40,6.0,0.33,84.1,,LazaAl00
53,Joe Mixon,26,CIN,RB,14,14,5.36,4.29,31.5,1.21,-1.93,-0.5,33.4,7.8,-0.2,0.43,10.0,0.21,4.0,0.00,100.1,,MixoJo00
54,K.J. Osborn,25,MIN,WR,17,9,5.29,3.53,38.2,1.88,20.6,5.8,17.6,5.0,8.3,0.18,20.0,0.12,2.2,0.12,97.0,,OsboKJ00
55,Aaron Jones,28,GNB,RB,17,17,4.24,3.47,23.2,1.12,-3.06,-0.9,26.3,7.6,0.2,0.06,59.0,0.35,8.3,0.00,112.7,,JoneAa00
56,Tyler Boyd,28,CIN,WR,16,14,5.13,3.63,47.6,2.63,32.1,8.8,15.6,4.3,9.2,0.13,29.0,0.19,3.7,0.31,94.7,,BoydTy00
57,Tyler Conklin,27,NYJ,TE,17,16,5.12,3.41,32.5,1.47,15.2,4.5,17.2,5.1,6.8,0.12,29.0,0.24,4.6,0.12,86.0,,ConkTy00
58,Gerald Everett,28,LAC,TE,16,11,5.44,3.63,34.7,1.81,14.3,3.9,20.4,5.6,5.6,0.31,11.6,0.56,10.3,0.13,90.0,,EverGe00
59,David Njoku,26,CLE,TE,14,14,5.71,4.14,44.9,2.57,20.7,5.0,24.1,5.8,6.5,0.21,19.3,0.21,3.8,0.07,106.7,,NjokDa00
60,Saquon Barkley,25,NYG,RB,16,16,4.75,3.56,21.1,0.63,-6.00,-1.7,27.1,7.6,-0.2,0.19,19.0,0.38,7.9,0.06,77.6,PBAP CPoY-3,BarkSa00
61,Brandin Cooks,29,HOU,WR,13,13,7.15,4.38,53.8,2.23,38.0,8.7,15.8,3.6,10.7,0.08,57.0,0.38,5.4,0.31,77.3,,CookBr00
62,Mack Hollins,29,LVR,WR,17,16,5.53,3.35,40.6,2.00,29.1,8.7,11.5,3.4,12.7,0.12,28.5,0.29,5.3,0.18,84.1,,HollMa00
63,Richie James,27,NYG,WR,17,4,4.12,3.35,33.5,1.71,23.1,6.9,10.4,3.1,7.2,0.06,57.0,0.18,4.3,0.00,119.6,,JameRi00
64,Alvin Kamara,27,NOR,RB,15,13,5.13,3.80,32.7,1.13,1.67,0.4,31.0,8.2,0.9,0.27,14.3,0.33,6.5,0.00,98.9,,KamaAl00
65,Dalton Schultz,26,DAL,TE,15,15,5.93,3.80,38.5,1.80,24.9,6.5,13.6,3.6,7.2,0.33,11.4,0.40,6.7,0.33,77.8,,SchuDa00
66,Jerick McKinnon,30,KAN,RB,17,0,4.18,3.29,30.1,1.65,-1.71,-0.5,31.8,9.7,0.7,0.24,14.0,0.24,5.6,0.06,130.4,AP CPoY-12,McKiJe00
67,Deebo Samuel,26,SFO,WR,13,12,7.23,4.31,48.6,1.92,10.7,2.5,37.9,8.8,4.3,0.92,4.7,0.69,9.6,0.23,73.5,,SamuDe00
68,Dallas Goedert,27,PHI,TE,12,12,5.75,4.58,58.5,3.33,23.5,5.1,35.0,7.6,6.1,0.17,27.5,0.08,1.4,0.00,123.6,,GoedDa00
69,Josh Jacobs,24,LVR,RB,17,17,3.76,3.12,23.5,0.94,1.53,0.5,22.0,7.1,0.5,0.12,26.5,0.24,6.3,0.00,92.7,PBAP-1AP OPoY-5,JacoJo01
70,Robert Tonyan,28,GNB,TE,17,3,3.94,3.12,27.6,1.18,14.2,4.6,13.4,4.3,5.8,0.12,26.5,0.06,1.5,0.12,93.4,,TonyRo00
71,Robert Woods,30,TEN,WR,17,15,5.35,3.12,31.0,1.82,21.8,7.0,9.18,2.9,7.8,0.00,,0.24,4.4,0.18,68.3,,WoodRo02
72,Greg Dortch,24,ARI,WR,16,4,4.00,3.25,29.2,1.19,10.9,3.3,18.3,5.6,4.9,0.19,17.3,0.00,0.0,0.00,107.5,,DortGr01
73,Hayden Hurst,29,CIN,TE,13,13,5.23,4.00,31.8,2.00,17.1,4.3,14.8,3.7,4.9,0.38,10.4,0.15,2.9,0.08,94.9,,HursHa00
74,George Pickens,21,PIT,WR,17,12,4.94,3.06,47.1,2.24,41.0,13.4,6.12,2.0,14.5,0.29,10.4,0.18,3.6,0.00,109.3,,PickGe00
75,Russell Gage,26,TAM,WR,13,4,5.38,3.92,32.8,2.38,19.6,5.0,13.2,3.4,5.5,0.15,25.5,0.23,4.3,0.00,112.0,,GageRu00
76,Noah Fant,25,SEA,TE,17,16,3.71,2.94,28.6,1.41,15.6,5.3,13.0,4.4,6.4,0.00,,0.06,1.6,0.00,120.0,,FantNo00
77,Cole Kmet,23,CHI,TE,17,17,4.06,2.94,32.0,1.59,15.2,5.2,16.8,5.7,6.7,0.18,16.7,0.12,2.9,0.24,105.0,,KmetCo00
78,Rachaad White,23,TAM,RB,17,8,3.41,2.94,17.1,0.76,-1.12,-0.4,18.2,6.2,-0.3,0.18,16.7,0.12,3.4,0.00,99.0,,WhitRa01
79,Gabriel Davis,23,BUF,WR,15,15,6.20,3.20,55.7,2.33,46.0,14.4,9.73,3.0,15.3,0.00,,0.60,9.7,0.40,80.8,,DaviGa01
80,Dawson Knox,26,BUF,TE,15,15,4.33,3.20,34.5,1.67,21.6,6.8,12.9,4.0,7.9,0.20,16.0,0.27,6.2,0.20,108.3,PB,KnoxDa00
81,Chris Moore,29,HOU,WR,16,7,4.63,3.00,34.3,1.50,17.8,5.9,16.4,5.5,8.8,0.13,24.0,0.13,2.7,0.19,79.1,,MoorCh00
82,Demarcus Robinson,28,BAL,WR,17,5,4.41,2.82,26.9,1.35,18.4,6.5,8.59,3.0,9.0,0.06,48.0,0.18,4.0,0.24,67.5,,RobiDe01
83,D'Andre Swift,23,DET,RB,14,8,5.00,3.43,27.8,1.21,-3.64,-1.1,31.4,9.2,0.5,0.21,16.0,0.21,4.3,0.00,96.7,,SwifDA00
84,Zach Ertz,32,ARI,TE,10,10,6.90,4.70,40.6,2.40,27.6,5.9,13.0,2.8,7.9,0.20,23.5,0.30,4.3,0.10,96.6,,ErtzZa00
