Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
232,Amari Rodgers,23,2TM,WR,16,1,25,16,204,12,130,8.1,74,4.6,9.4,2,8.0,1,4.0,1,86.1,,RodgAm00
232,Amari Rodgers,23,GNB,WR,10,0,8,4,50,3,28,7.0,22,5.5,11.1,1,4.0,0,0.0,1,30.2,,RodgAm00
232,Amari Rodgers,23,HOU,WR,6,1,17,12,154,9,102,8.5,52,4.3,8.6,1,12.0,1,5.9,0,118.3,,RodgAm00
234,Rashod Bateman,23,BAL,WR,6,5,28,15,285,7,152,10.1,133,8.9,13.4,1,15.0,4,14.3,1,98.1,,BateRa00
235,Ashton Dulin,25,IND,WR,12,2,22,15,207,12,172,11.5,35,2.3,11.5,1,15.0,0,0.0,2,75.4,,DuliAs00
237,Trenton Irwin,27,CIN,WR,9,2,23,15,231,12,172,11.5,59,3.9,11.3,0,,1,4.3,0,137.9,,IrwiTr00
239,Zach Pascal,28,PHI,WR,17,2,19,15,150,9,64,4.3,86,5.7,6.1,1,15.0,1,5.3,1,95.2,,PascZa00
242,Justin Watson,26,KAN,WR,17,5,34,15,315,12,255,17.0,60,4.0,18.7,0,,5,14.7,1,84.8,,WatsJu01
247,Ray-Ray McCloud,26,SFO,WR,17,2,25,14,243,11,151,10.8,92,6.6,11.8,0,,2,8.0,0,102.6,,McClRa00
249,Steven Sims,25,PIT,WR,12,2,23,14,104,5,18,1.3,86,6.1,4.5,2,7.0,1,4.3,0,71.6,,SimsSt00
251,Damiere Byrd,29,ATL,WR,14,4,23,13,268,9,163,12.5,105,8.1,20.3,1,13.0,0,0.0,2,90.5,,ByrdDa00
252,Lawrence Cager,25,2TM,WR,7,4,19,13,118,8,40,3.1,78,6.0,5.8,1,13.0,0,0.0,2,62.9,,CageLa01
252,Lawrence Cager,25,NYJ,WR,1,1,1,0,0,0,0,,0,,14.0,0,,0,0.0,1,0.0,,CageLa01
252,Lawrence Cager,25,NYG,WR,6,3,18,13,118,8,40,3.1,78,6.0,5.3,1,13.0,0,0.0,1,85.0,,CageLa01
254,KhaDarel Hodge,27,ATL,WR,17,1,20,13,202,7,141,10.8,61,4.7,13.4,0,,1,5.0,0,115.0,,HodgKh00
257,Sterling Shepard,29,NYG,WR,3,2,24,13,154,4,99,7.6,55,4.2,9.4,1,13.0,3,12.5,0,87.8,,ShepSt00
