Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
294,Sterling Shepard,30,NYG,WR,15,2,22,10,57,5.7,1,4,22.7,13.0,0.7,3.8,45.5,2.6,1,,ShepSt00
296,Olamide Zaccheaus,26,PHI,WR,17,1,20,10,164,16.4,2,7,50.0,34.0,0.6,9.6,50.0,8.2,0,,ZaccOl01
297,River Cracraft,29,MIA,WR,10,1,12,9,121,13.4,1,8,66.7,24.0,0.9,12.1,75.0,10.1,0,,CracRi00
305,Xavier Hutchinson,23,HOU,WR,16,0,19,8,90,11.3,0,3,21.1,34.0,0.5,5.6,42.1,4.7,0,,HutcXa00
309,Ben Skowronek,26,LAR,WR,17,0,12,8,66,8.3,1,3,41.7,20.0,0.5,3.9,66.7,5.5,0,,SkowBe00
310,Ihmir Smith-Marsette,24,CAR,WR,17,0,10,8,51,6.4,0,5,50.0,18.0,0.5,3.0,80.0,5.1,2,,SmitIh00
311,Samori Toure,25,GNB,WR,11,0,18,8,78,9.8,0,4,27.8,35.0,0.7,7.1,44.4,4.3,1,,TourSa00
313,Chase Claypool,25,2TM,WR,12,2,21,8,77,9.6,1,4,23.8,20.0,0.7,6.4,38.1,3.7,0,,ClayCh01
313,Chase Claypool,25,CHI,WR,3,2,14,4,51,12.8,1,3,21.4,20.0,1.3,17.0,28.6,3.6,0,,ClayCh01
313,Chase Claypool,25,MIA,WR,9,0,7,4,26,6.5,0,1,28.6,15.0,0.4,2.9,57.1,3.7,0,,ClayCh01
319,Charlie Jones,25,CIN,WR,11,0,9,7,64,9.1,0,3,44.4,35.0,0.6,5.8,77.8,7.1,0,,JoneCh11
321,Jalen Reagor,24,NWE,WR,11,1,23,7,138,19.7,0,5,21.7,39.0,0.6,12.5,30.4,6.0,0,,ReagJa00
326,Ronnie Bell,23,SFO,WR,17,0,13,6,68,11.3,3,5,46.2,20.0,0.4,4.0,46.2,5.2,1,,BellRo01
328,Jalen Brooks,23,DAL,WR,7,0,6,6,64,10.7,0,4,83.3,24.0,0.9,9.1,100.0,10.7,0,,BrooJa03
330,Keelan Doss,27,LAC,WR,5,0,13,6,33,5.5,0,1,23.1,9.0,1.2,6.6,46.2,2.5,0,,DossKe00
336,Justyn Ross,24,KAN,WR,10,1,11,6,53,8.8,0,2,45.5,20.0,0.6,5.3,54.5,4.8,0,,RossJu00
340,Jason Brownlee,24,NYJ,WR,7,5,8,5,56,11.2,1,2,50.0,24.0,0.7,8.0,62.5,7.0,0,,BrowJa07
341,Randall Cobb,33,NYJ,WR,11,1,17,5,39,7.8,1,3,17.6,15.0,0.5,3.5,29.4,2.3,0,,CobbRa00
345,Marvin Jones,33,DET,WR,6,4,10,5,35,7.0,0,2,30.0,16.0,0.8,5.8,50.0,3.5,1,,JoneMa02
346,Keith Kirkwood,29,NOR,WR,13,4,9,5,37,7.4,1,3,44.4,13.0,0.4,2.8,55.6,4.1,0,,KirkKe00
348,David Moore,28,TAM,WR,7,0,7,5,94,18.8,1,3,71.4,52.0,0.7,13.4,71.4,13.4,0,,MoorDa03
352,Equanimeous St. Brown,27,CHI,WR,7,2,6,5,62,12.4,0,3,83.3,21.0,0.7,8.9,83.3,10.3,0,,St.BEq00
360,DeAndre Carter,30,LVR,WR,17,1,7,4,39,9.8,0,0,28.6,16.0,0.2,2.3,57.1,5.6,2,,CartDe02
361,Robbie Chosen,30,MIA,WR,9,0,6,4,126,31.5,1,3,66.7,68.0,0.4,14.0,66.7,21.0,0,,AndeRo04
363,Britain Covey,26,PHI,WR,16,0,6,4,42,10.5,0,2,66.7,22.0,0.3,2.6,66.7,7.0,2,,CoveBr00
364,Devin Duvernay,26,BAL,WR,13,1,9,4,18,4.5,0,0,11.1,10.0,0.3,1.4,44.4,2.0,0,,DuveDe00
365,Marquise Goodwin,33,CLE,WR,12,0,13,4,67,16.8,0,1,7.7,57.0,0.3,5.6,30.8,5.2,0,,GoodMa00
368,Rakim Jarrett,22,TAM,WR,10,0,9,4,60,15.0,0,1,33.3,41.0,0.4,6.0,44.4,6.7,0,,JarrRa00
369,Velus Jones Jr.,26,CHI,WR,14,0,7,4,20,5.0,0,1,42.9,11.0,0.3,1.4,57.1,2.9,0,,JoneVe00
371,Zach Pascal,29,ARI,WR,14,1,15,4,19,4.8,0,1,20.0,9.0,0.3,1.4,26.7,1.3,0,,PascZa00
374,Austin Trammell,25,LAR,WR,16,0,7,4,29,7.3,0,2,28.6,14.0,0.3,1.8,57.1,4.1,3,,TramAu00
379,Miles Boykin,27,PIT,WR,17,0,4,3,17,5.7,0,0,50.0,6.0,0.2,1.0,75.0,4.3,0,,BoykMi00
381,Chris Conley,31,SFO,WR,8,0,6,3,69,23.0,0,2,33.3,48.0,0.4,8.6,50.0,11.5,0,,ConlCh00
