Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
82,Demarcus Robinson,28,BAL,WR,17,5,4.41,2.82,26.9,1.35,18.4,6.5,8.59,3.0,9.0,0.06,48.0,0.18,4.0,0.24,67.5,,RobiDe01
85,Kalif Raymond,28,DET,WR,17,7,3.76,2.76,36.2,1.41,23.4,8.5,12.8,4.6,10.0,0.12,23.5,0.0,0.0,0.0,103.4,AP-2,RaymKa00
86,DeAndre Carter,29,LAC,WR,17,7,3.82,2.71,31.6,1.71,19.5,7.2,12.1,4.5,8.9,0.0,,0.12,3.1,0.06,104.5,,CartDe02
89,Marvin Jones,32,JAX,WR,16,10,5.06,2.88,33.1,1.81,27.1,9.4,5.94,2.1,13.2,0.0,,0.31,6.2,0.13,78.7,,JoneMa02
90,Darius Slayton,25,NYG,WR,16,11,4.44,2.88,45.3,1.88,28.9,10.0,16.4,5.7,12.5,0.13,23.0,0.44,9.9,0.13,96.2,,SlayDa01
91,Chase Claypool,24,2TM,WR,15,11,5.27,3.07,30.1,1.6,20.1,6.6,9.93,3.2,10.3,0.13,23.0,0.27,5.1,0.27,57.5,,ClayCh01
91,Chase Claypool,24,PIT,WR,8,8,6.25,4.0,38.9,2.13,25.8,6.4,13.1,3.3,9.5,0.25,16.0,0.13,2.0,0.25,71.3,,ClayCh01
91,Chase Claypool,24,CHI,WR,7,3,4.14,2.0,20.0,1.0,13.7,6.9,6.29,3.1,11.9,0.0,,0.43,10.3,0.29,33.7,,ClayCh01
92,Noah Brown,26,DAL,WR,16,13,4.63,2.69,34.7,1.56,26.7,9.9,8.0,3.0,10.8,0.25,10.8,0.38,8.1,0.25,72.7,,BrowNo00
93,Romeo Doubs,22,GNB,WR,13,7,5.15,3.23,32.7,1.54,17.6,5.5,15.1,4.7,9.4,0.0,,0.69,13.4,0.0,95.7,,DoubRo00
95,Isaiah McKenzie,27,BUF,WR,15,8,4.33,2.8,28.2,1.8,19.7,7.0,8.53,3.0,8.3,0.0,,0.4,9.2,0.13,90.7,,McKeIs00
97,Marquez Valdes-Scantling,28,KAN,WR,17,11,4.76,2.47,40.4,1.88,31.6,12.8,8.76,3.5,13.9,0.0,,0.29,6.2,0.06,83.7,,ValdMa00
102,Rondale Moore,22,ARI,WR,8,8,7.0,5.13,51.8,2.0,16.6,3.2,35.1,6.9,5.5,0.63,8.2,0.75,10.7,0.0,99.9,,MoorRo02
103,Alec Pierce,22,IND,WR,16,12,4.88,2.56,37.1,1.75,30.0,11.7,7.06,2.8,11.7,0.0,,0.19,3.8,0.13,75.4,,PierAl00
104,Christian Watson,23,GNB,WR,14,11,4.71,2.93,43.6,2.0,23.9,8.2,19.7,6.7,13.8,0.21,13.7,0.29,6.1,0.07,121.5,AP ORoY-7,WatsCh00
105,Darnell Mooney,25,CHI,WR,12,12,5.08,3.33,41.1,1.67,27.4,8.2,13.7,4.1,12.0,0.17,20.0,0.17,3.3,0.17,87.7,,MoonDa00
106,Olamide Zaccheaus,25,ATL,WR,17,13,3.59,2.35,31.4,1.47,20.2,8.6,11.1,4.7,11.5,0.18,13.3,0.0,0.0,0.0,109.5,,ZaccOl01
108,Michael Gallup,26,DAL,WR,14,11,5.29,2.79,30.3,1.79,22.6,8.1,7.64,2.7,11.1,0.0,,0.43,8.1,0.29,65.4,,GallMi00
